hub id	hub name (auto fill)	article url												
40	CIPMEN	https://www.theafricareport.com/2164/nigers-big-boost-to-up-and-coming-sme-shoots/	https://www.mediaterre.org/actu,20180125064218,15.html	https://www.bizcommunity.com/Article/156/48/114104.html	https://www.jeuneafrique.com/mag/270899/economie/niger-un-coup-de-pouce-aux-jeunes-pousses/	https://www.afdb.org/en/news-and-events/president-akinwumi-adesina-in-niamey-the-afdb-is-working-with-niger-to-speed-up-its-development-17384	https://sekou.org/magazine/2017/06/05/le-cipmen-incube-les-startups-innovantes-du-niger/							
41	Civic Foundation for Innovation	https://reliefweb.int/report/nigeria/undp-partners-civic-foundation-innovation-seeks-new-approaches-designing-development	https://techpoint.africa/2017/08/09/civic-innovation-lab-abuja-launch/											
42	Co-creation Hub	https://techcrunch.com/2019/09/26/nigerias-cchub-acquires-kenyas-ihub-to-create-mega-africa-incubator/	https://qz.com/africa/574892/nigerian-incubator-co-creation-hub-has-launched-a-5-million-investment-fund/	https://www.appsafrica.com/co-creation-hub-nigeria-announces-latest-incubation-cohort/	https://edition.cnn.com/2013/03/22/tech/innovation/nigeria-cc-hub/index.html									
43	Codebridge	https://www.ada.ac.za/alumni_news/codebridge-newlands/	https://blog.okfn.org/2017/03/22/know-your-hood-odd2017-in-south-africa/	https://www.brandsouthafrica.com/investments-immigration/africanews/africa-s-high-tech-boom-boosts-the-continent-s-competitiveness	https://ventureburn.com/2017/05/top-startup-events-south-africa-africa-know-week-29052017/	https://www.thoughtworks.com/insights/blog/software-africans								
44	CodedinBraam	https://www.thoughtworks.com/insights/blog/software-africans												
45	CoLab	https://qz.com/africa/821936/colab-a-new-tech-hub-in-kaduna-hopes-to-inspire-an-ecosystem-in-northern-nigeria/	https://disrupt-africa.com/2016/10/20/colab-is-northern-nigerias-first-tech-hub/	https://techcabal.com/2016/10/11/this-is-colab-kadunas-first-innovation-hub/	https://sheleadsafrica.org/colab-kaduna/	https://www.bizcommunity.com.ng/Article/157/16/152731.html	https://www.pulse.ng/news/colab-female-developers-get-free-access-to-tech-innovation-hub/8sqyll2							
46	Comores Coworking	https://alwatwan.net/societe/projet-int%C3%A9gr%C3%A9-des-cha%C3%AEnes-de-valeurs-i-lancement-officiel-du-concours-de-plan-d%E2%80%99affaires.html												
47	Congo Business Network	https://www.africanews.com/2019/07/11/the-congo-business-network-for-economic-development-the-morning-call//	https://www.kapitalafrik.com/2018/12/13/drc-congo-business-network-plans-an-online-event-on-business-registration-in-congo/											
48	CONNECT’INNOV	https://santedesiles.com/table-kids-by-connect-innov/	https://www.ilboursa.com/marches/connectinnov-lance-connectinnov-lab--premier-incubateur-healthtech-en-tunisie_28256	https://upsat.tn/en/events-2/collaboration-with-connectinnov/										
49	Couveuse PAPRICAI / Association Heinrich Klose	https://fondationheinrichklose.org/2019/12/22/ikam-ouvre-ses-portes-au-togo/	https://www.africardv.com/africa/africa-initiatives/togo-un-incubateur-couveuse-made-in-togo/	https://www.africatopsuccess.com/gr2017-les-jeunes-entrepreneurs-francophones-sur-les-pas-de-lecosysteme-quebecois/										
50	Cowork.Africa	https://www.cameroonbusinesstoday.cm/articles/1597/fr/diamond-business-technologies-coworking-space-training-centre-operational	https://www.digitalbusiness.africa/cameroun-diamond-business-technologies-de-georges-mpoudi-ngole-lance-cowork-africa-a-douala/											
51	CREATEAM	https://blogs.worldbank.org/psd/giving-francophone-african-incubators-keys-accelerate-growth-entrepreneurship												
52	Creative Hub Ethiopia	https://www.addisinsight.net/creative-hub-ethiopia-calls-all-artisans-to-apply-to-their-new-incubation-program/	https://afroleap.com/?p=1198	https://tii.unido.org/news/unido-launches-first-creative-hub-ethiopia-support-creative-industries-and-entrepreneurship	https://www.thereporterethiopia.com/article/Coworking%20-spaces-inspiring-innovators?__cf_chl_jschl_tk__=900d1e63dd6e061fb463b36df14fd4115d8531ad-1623933999-0-AUc_NftUM3vMEMbcY5-ciLTo4vxjQYrjLzUQk0oUYk7TcO1jnr-ilZQXHOa0lmQkvrUyhEKDugCtr7axhcm5J-sg311vQXGoELhHMSSkBFefeSU5VzIxRY4_vE58vucJnmhliOgksk07WytjrXI8qPo018MC34mZvy__F8LgkP1K5RCNEcqNiygpqwifEM5YiBb4ue0224j2hbTEZR57851KVF-SGBNVCUPow8HtQRDSnfu8Pxvoib4mFR4lJfUvznP3W7uii0k-cGEfq8SaEfZ2TiADkTY25ZPMCBBaRrY6-ZTEH2vlHMGCLQgQOxuxcfW39JRpob30myQuL602y_LJDQ3exR-bnUy8lANnxj9GKIyw7TeX_yOWnbVQk1LAwqajNoX114Zx4mn2EpMiLVgyIEaz_Mq6rwg1Yy4Zzo69TPD4XJsmV_V_eC8Wgl43SKrLflrpo-1EE6-kL9QhPME									
53	CTIC Dakar	https://www.infodev.org/articles/spotlight-ctic-dakar	https://yannlebeux.com/tag/ctic-dakar/page/3/	https://www.jeuneafrique.com/330676/economie/start-up-africaine-de-semaine-ctic/	https://cio-mag.com/senegal-le-directeur-general-du-ctic-dakar-pret-a-rejoindre-le-futur-incubateur-de-la-der/	https://www.ft.com/content/dae844e6-2dcc-11e8-97ec-4bd3494d5f14	https://www.lafriquedesidees.org/immersion-au-ctic-presentation-generale/							
54	CUBE	https://robohub.org/cube-tech-fair/												
55	Cyclotron R�union Indian Ocean (CYROI GIP)	https://umr-astre.cirad.fr/en/research/teams/research-and-surveillance-in-the-indian-ocean-crvoi	http://ecoaustral.com/comment-le-cyroi-fait-de-la-reunion-une-terre-de-recherche	https://www.ipreunion.com/cinor-actualite/reportage/2021/04/02/cinor-cyroi-visite-au-coeur-de-la-recherche,133207.html										
56	Design Hub Kampala	https://startjournal.org/2019/05/design-hub-kampala/	https://east-africa.hivos.org/project/design-hub-kampala/	https://pctechmag.com/2019/06/design-hub-joins-afrilabs-pan-hub-network/	https://www.dw.com/en/innovation-a-country-in-the-starting-blocks/a-43623331	http://nutip.org/design-hub-kampala/	https://www.theurbandetective.com/blogs/2017/6/12/design-hub-kampala	https://patdryburgh.com/blog/design-hub-kampala/						
